url,source,statut,nb_mots,score_pertinence,date
https://www.ici.fr/infos/faits-divers-justice/devant-les-assises-de-saone-et-loire-l-accusation-demande-la-clemence-pour-valerie-bacot-1624613342,ici.fr,retenu,397,3,2021-06-25
https://www.midilibre.fr/2021/07/04/la-chronique-de-christine-clerc-lettre-a-valerie-bacot-9649871.php,Midi Libre,retenu,443,5,2021-07-04
https://www.parismatch.com/Actu/Societe/Exclusif-Valerie-Bacot-J-en-veux-a-ceux-qui-nous-ont-tourne-le-dos-1746568,parismatch.com,retenu,348,3,2021-07-06
https://www.bienpublic.com/faits-divers-justice/2021/07/15/affaire-bacot-la-mere-de-valerie-porte-plainte-pour-diffamation-contre-sa-fille,Le Bien Public,retenu,192,4,2021-07-15
https://www.ladepeche.fr/2021/07/15/la-mere-de-valerie-bacot-assigne-sa-fille-et-son-editeur-pour-diffamation-9673796.php,ladepeche.fr,retenu,326,4,2021-07-15
https://www.republicain-lorrain.fr/faits-divers-justice/2021/07/15/la-mere-de-valerie-bacot-poursuit-sa-fille-pour-diffamation,Le Républicain Lorrain,retenu,412,4,2021-07-15
https://www.reforme.net/actualites/lambert-bacot-sauvage-la-mediatisation-des-affaires-influence-t-elle-les-legislations/,reforme.net,retenu,662,3,2021-07-19
https://www.bfmtv.com/replay-emissions/affaire-suivante-les-inedits/l-affaire-valerie-bacot_VN-202107260274.html,BFM,trop_court,43,0,2021-07-26
https://www.lejsl.com/faits-divers-justice/2021/07/15/la-mere-de-valerie-bacot-contre-attaque,Le JSL,retenu,452,5,2021-07-15
https://www.corsematin.com/articles/janine-bonaggiunta-avocate-corse-pour-valerie-bacot-la-loi-cetait-celle-de-son-bourreau-119185,Corse Matin,retenu,1244,4,2021-07-22
https://www.lejsl.com/faits-divers-justice/2021/07/20/attaque-en-justice-pour-injures-a-propos-de-la-mere-de-valerie-bacot-le-tribunal-rendra-son-delibere-le-27-juillet,Le JSL,retenu,193,4,2021-07-20
https://charliehebdo.fr/2021/06/societe/tech/valerie-bacot-conte-bestialite-ordinaire/,Charlie Hebdo,retenu,161,4,2021-05-16
https://www.lejsl.com/faits-divers-justice/2021/07/20/injures-sur-facebook-la-mere-de-valerie-bacot-devra-attendre,Le JSL,retenu,183,4,2021-07-20
https://www.bienpublic.com/faits-divers-justice/2021/07/27/le-refere-pour-injures-contre-la-mere-de-valerie-bacot-rejete-frsu,Le Bien Public,trop_court,117,0,2021-07-27
https://www.leprogres.fr/faits-divers-justice/2021/07/20/affaire-bacot-une-ledonienne-et-sa-page-facebook-devant-la-justice,Le Progrès,trop_court,136,0,2021-07-20
https://www.lenouveaudetective.com/enquetes/ce-proces-cest-mon-dernier-combat-contre-lui,Le Nouveau Détective,retenu,2265,5,2021-06-30
