texte,auteur,handle,date,datetime,url,likes,retweets,nb_mots
"Valerie #Bacot pleure beaucoup à la barre. « Avec les thérapies, j’ai compris que j’étais sous l’emprise de mon mari depuis toute petite, et puis après sous l’emprise de Lucas » @CNEWS","Noémie Schulz@noemieschulz·Jun 22, 2021",@noemieschulz,2021-06-22,2021-06-22T15:28:25.000Z,https://x.com/noemieschulz/status/1407359828092198916,32,4,32
"Valérie Bacot : ""La prison, ça a été ma première vraie famille"".
Imaginez sous quelle emprise et avec quelle violence il faut avoir toujours vécu pour pouvoir dire cela.
(Le Parisien du 14/05/21)","Nina Zam @NinaZamParis·May 14, 2021",@NinaZamParis,2021-05-14,2021-05-14T17:14:12.000Z,https://x.com/NinaZamParis/status/1393253322719735811,1,0,33
"les medias font les choux gras de la pauvre #Bacot sous emprise de son bourreaux..etc ,mais savoir regardé la verité ,valerie est l'exemple mm de survie face à la pauvreté et l'abandon de l'etat au point de vue educatif,indistriel financiere",jet,@jet1481,2021-06-25,2021-06-25T13:15:36.000Z,https://x.com/jet1481/status/1408413567360065536,0,0,40
"Le psychiatre Denis Prieur qui a rencontré Valerie #Bacot en prison et diagnostique un syndrome de stress post traumatique et un « syndrome de la femme battue, l’emprise de son conjoint persiste par delà la mort » 
@CNEWS",Noémie Schulz,@noemieschulz,2021-06-24,2021-06-24T07:25:00.000Z,https://x.com/noemieschulz/status/1407962949852012546,48,10,38
"«Elle avait une solution : fuir ou se suicider. 

Se suicider, elle a essayé (…) Fuir pour aller où ? Elle n’a pas d’argent car il l’empêchait de travailler (…) il l’a isolée de tout le monde.»

Me 
@JBonaggiunta
, après le premier jour de procès pour sa cliente Valérie Bacot",Matthieu Beauchamps,@Matthieubchmps,2021-06-21,2021-06-21T21:09:51.000Z,https://x.com/Matthieubchmps/status/1407083367854661634,3,2,51
"Valerie Bacot, 40, admitted to shooting Daniel Polette dead in self-defense. She faces a life sentence for murder. 
https://
bit.ly/3gTsUzq",NewsWatch Plus PH,@newswatchplusph,2021-06-21,2021-06-21T23:39:33.000Z,https://x.com/newswatchplusph/status/1407121038618464271,7,4,20
J’espère vraiment que Valérie Bacot ne va pas être condamnée. Son histoire me tue,Kakashi Senseï ,@Kakashii_____,2021-06-21,2021-06-21T20:23:59.000Z,https://x.com/Kakashii_____/status/1407071822189842434,1,0,14
"Mujer será juzgada en Francia por matar a su padrastro tras años de abusos: El 13 de marzo de 2016, Valérie Bacot, entonces de 35 años, mató a Daniel Polette, de 61. Con la ayuda de dos de sus hijos, enterró su cuerpo en un bosque, pero fue denunciada y… 
http://
dlvr.it/S29m7Z",Lima NewsWeek,@LimaNewsWeek,2021-06-21,2021-06-21T19:32:05.000Z,https://x.com/LimaNewsWeek/status/1407058764243640320,1,3,52
"https://
images.app.goo.gl/DHoxw6EgaioCo9
eAA
…
Soutien a Valérie Bacot 
Que s'arrête son calvaire 
Pour aussi son acquittement",Remi l'ardennais ,@americain08,2021-06-21,2021-06-21T18:43:42.000Z,https://x.com/americain08/status/1407046584827793408,5,3,16
"If the facts of the story are true, she should be acquitted immediately. This was self-defence, extended long-term.
#ValerieBacot #Valerie #Bacot",Angel Versetti,@angelversetti,2021-06-21,2021-06-21T18:12:11.000Z,https://x.com/angelversetti/status/1407038656699944962,0,0,21
"#Noticias #Internacional El 13 de marzo de 2016, Valérie Bacot, entonces de 35 años, mató a Daniel Polette, de 61, luego de soportar años de agresiones.


https://
elsalvador.com/noticias/inter
nacional/violacion-prostitucion-francesa-juicio-matar-verdugo/850557/2021/?utm_source=twitter&utm_medium=noticias&utm_campaign=organico
…",elsalvador.com,@elsalvadorcom,2021-06-21,2021-06-21T21:30:00.000Z,https://x.com/elsalvadorcom/status/1407088435840655371,3,1,30
"Procès de Valérie Bacot: selon son avocate, ""cette première journée a été extrêmement éprouvante""",BFM,@BFMTV,2021-06-21,2021-06-21T20:46:02.000Z,https://x.com/BFMTV/status/1407077374395568130,19,4,14
"Acquittement pour Valérie Bacot - Signez la pétition ! 
http://
chng.it/MBHjLPhk via 
@ChangeFrance",melinantonin ,@BismuthJ,2021-06-21,2021-06-21T20:43:12.000Z,https://x.com/BismuthJ/status/1407076657974874115,1,0,13
"Valérie Bacot, victime de violences conjugales, va devoir répondre de l’assassinat de son mari, tué d’une balle dans la nuque en mars 2016. Elle encourt la prison à perpétuité.",Le Monde,@lemondefr,2021-06-21,2021-06-21T05:17:43.000Z,https://x.com/lemondefr/status/1406843752241586178,99,80,29
"""Notre mère a vécu un enfer pendant des années, des années, des années."" Récit poignant des enfants de Valérie Bacot, jugée pour l’assassinat de son ex-beau-père devenu le père de ses quatre enfants, son époux puis son proxénète.

@Juliettedelage


https://
liberation.fr/societe/police
-justice/proces-valerie-bacot-mon-pere-etait-violent-on-a-toujours-vecu-dans-la-douleur-des-coups-20210622_XUQ7MBYGSFAH3MPB2QJWWZQVJU/
…",Victor Boiteau,@v_boiteau,2021-06-22,2021-06-22T21:13:39.000Z,https://x.com/v_boiteau/status/1407446709349883905,1,0,43
"Pas de prison pour Valérie Bacot ! Violée, violentée, prostituée #LibertéPourValérie - Signez la pétition ! 
http://
chng.it/KGz6Y2fS via 
@ChangeFrance",Mary,@Marylveb,2021-06-22,2021-06-22T23:24:22.000Z,https://x.com/Marylveb/status/1407479606194618369,2,3,20
"La déconnection habituelle de la justice avec la réalité surtout après autant de dysfonctionnements,la seule condamnation que mérite cette femme est de devoir vivre avec le poids de son geste, salvateur pour elle et ses enfants. #Bacot",damien didelot,@damiendidelot,2021-06-22,2021-06-22T17:38:33.000Z,https://x.com/damiendidelot/status/1407392578102874116,2,0,37
"Pas de prison pour Valérie Bacot. Violée, violentée, prostituée #LibertéPourValérie - Signez la pétition 
http://
chng.it/x4NxtbjD via 
@ChangeFrance",☆MURPHY合,@Murphy_98k,2021-06-22,2021-06-22T20:21:54.000Z,https://x.com/Murphy_98k/status/1407433686715441169,1,3,18
"Pas de prison pour Valérie Bacot ! Violée, violentée, prostituée #LibertéPourValérie - Sign the Petition! 
http://
chng.it/JW4CJhxC via 
@Change",AJ the Author,@notafairy,2021-06-22,2021-06-22T16:46:07.000Z,https://x.com/notafairy/status/1407379381719339010,1,1,19
"""On nous a envoyé péter"" : des proches de Valérie Bacot accusent la gendarmerie de les avoir ignorés

https://
lci.fr/justice-faits-
divers/en-direct-proces-de-valerie-bacot-jugee-pour-l-assassinat-de-son-mari-violent-suivez-l-audience-en-live-ce-mardi-22-juin-2189353.html
…",Caliel ,@Baluro_,2021-06-22,2021-06-22T22:38:59.000Z,https://x.com/Baluro_/status/1407468186115706885,1,0,22
"Pas de prison pour Valérie Bacot ! Violée, violentée, prostituée #LibertéPourValérie 
http://
chng.it/NpW9R5y9 via 
@ChangeFrance",Alice ,@MeryllStark,2021-06-22,2021-06-22T21:24:00.000Z,https://x.com/MeryllStark/status/1407449313291255817,1,1,15
"Pas de prison pour Valérie Bacot ! Violée, violentée, prostituée #LibertéPourValérie - Firma la petizione! 
http://
chng.it/RkmTRgJv via 
@ChangeItalia",r.buchli,@rubu4812,2021-06-22,2021-06-22T22:38:08.000Z,https://x.com/rubu4812/status/1407467972608860160,3,2,19
"Pas de prison pour Valérie Bacot ! 
Violée, violentée, prostituée #LibertéPourValérie - 
Signez la pétition ! 
http://
chng.it/qXDgVYp2",Linda Hamonou,@crazypuce,2021-06-22,2021-06-22T22:23:11.000Z,https://x.com/crazypuce/status/1407464209324023808,1,1,18
"""Il nous donnait des coups, nous jetait par terre"": au procès de Valérie Bacot, les enfants racontent la violence de leur père 
https://
bfmtv.com/police-justice
/il-nous-donnait-des-coups-nous-jetait-par-terre-au-proces-de-valerie-bacot-les-enfants-racontent-la-violence-de-leur-pere_AV-202106220316.html
… via 
@BFMTV",Aurélien Giraux,@Aureli1enGiraux,2021-06-22,2021-06-22T19:42:40.000Z,https://x.com/Aureli1enGiraux/status/1407423815060164613,2,4,28
"Valérie Bacot wrote a best-selling memoir about the 25 years of brutal abuse she endured from her stepfather. Now she could face life in prison for his murder. 

https://
trib.al/GhbPr6M",VICE World News,@VICEWorldNews,2021-06-22,2021-06-22T16:58:30.000Z,https://x.com/VICEWorldNews/status/1407382501409050627,1,1,30
"En 2016 Valérie Bacot mató a su marido, Daniel Polette. Le disparó con el arma que él usaba para amenazarla a ella y a sus hijos. Hoy enfrenta un juicio en el que se ha pedido su encarcelamiento perpetuo.

https://
contrapuntonews.com/mujer-enfrenta
-cadena-perpetua-por-matar-a-su-esposo-quien-la-violaba-y-amenazaba/
…",Contrapuntonews,@Contrapuntonews,2021-06-22,2021-06-22T21:41:17.000Z,https://x.com/Contrapuntonews/status/1407453665464573952,1,2,43
#Bacot comment un beau père reconnu coupable peut-il retourner au domicile familial après avoir été condamné pour le viol de sa belle-fille !?!  Surtout quand on connaît la suite des événements ! #Dramatique,꧁ Mary POPPINS꧂,@MllePoppins,2021-06-22,2021-06-22T20:47:52.000Z,https://x.com/MllePoppins/status/1407440220728008706,3,0,33
