url,title,author,date,sitename,query_trigger,word_count,scraped_at
https://www.europe1.fr/societe/valerie-bacot-condamnee-a-une-peine-symbolique-justice-a-ete-rendue-estime-son-avocate-4054122,"Valérie Bacot condamnée à une peine symbolique : ""Justice a été rendue"", estime son avocate",Marion Dubreuil; Édité Par Antoine Terrel,2021-06-26,,Valérie Bacot,251,2026-05-28T14:14:47.170526
https://www.tf1info.fr/justice-faits-divers/video-replay-tf1-sept-a-huit-l-interview-bouleversante-de-valerie-bacot-jugee-pour-avoir-tue-son-mari-qui-la-tyrannisait-2185510.html,"""Sept à Huit "" : l'interview bouleversante de Valérie Bacot, jugée pour avoir tué son mari qui la tyrannisait | TF1 Info",Laure GIUILY,2021-06-21,,Valérie Bacot,1317,2026-05-28T14:14:55.893400
https://www.tf1info.fr/justice-faits-divers/video-je-vais-pouvoir-retrouver-mes-enfants-libre-valerie-bacot-ovationnee-a-la-sortie-du-tribunal-2189844.html,"VIDÉO - ""Je vais pouvoir retrouver mes enfants"" : libre, Valérie Bacot ovationnée à la sortie du tribunal | TF1 Info",La rédaction de TF,2021-06-26,,Valérie Bacot,617,2026-05-28T14:14:58.663009
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/valerie-bacot-il-est-indispensable-que-la-loi-passe-autour-de-ce-crime-plaide-l-avocate-des-parties-civiles-2152363.html,Valérie Bacot : les avocates demandent l'acquittement de la femme qui a tué son mari,Gaël Simon,2021-06-24,,Valérie Bacot,2103,2026-05-28T14:15:01.782472
https://www.gala.fr/l_actu/news_de_stars/exclu-gala-valerie-bacot-son-depart-en-prison-organise-et-sous-controle-avant-son-proces_480151,EXCLU - Valérie Bacot : son départ en prison organisé et sous contrôle avant son procès,Sarah Polak,2021-11-07,,Valérie Bacot,516,2026-05-28T14:15:10.348669
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot-ma-mere-est-non-coupable-clament-ses-enfants-au-deuxieme-jour-du-proces_4674575.html,"Procès de Valérie Bacot : ""Elle est non coupable"", clament ses enfants au deuxième jour du procès",Franceinfo Avec Afp,2021-06-22,,Valérie Bacot,741,2026-05-28T14:15:13.093632
https://www.rtl.fr/actu/justice-faits-divers/proces-de-valerie-bacot-j-ai-ete-naive-confie-sa-mere-a-la-barre-7900048715,"Procès de Valérie Bacot : ""J'ai été naïve"", confie sa mère à la barre",La rédaction numérique de RTL,2021-06-23,,Valérie Bacot,492,2026-05-28T14:15:15.464303
https://www.tf1info.fr/justice-faits-divers/proces-de-valerie-bacot-la-partie-civile-reclame-une-condamnation-pour-l-exemple-2189758.html,Procès de Valérie Bacot : la partie civile réclame une condamnation pour l’exemple | TF1 Info,J V,2021-06-25,,Valérie Bacot,420,2026-05-28T14:15:18.442420
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-elle-est-non-coupable-clame-l-un-des-enfants-de-la-femme-qui-a-tue-son-mari-violent-2147332.html,"Valérie Bacot : ""On avait une peur, qu'il se relève et nous tue"" témoignent les enfants de l'homme tué par leur mère",Gaël Simon,2021-06-22,,Valérie Bacot,2910,2026-05-28T14:15:21.348444
https://www.bfmtv.com/societe/le-temoignage-glacant-de-valerie-bacot-victime-de-violences-conjugales_AN-202105260005.html,"Le témoignage glaçant de Valérie Bacot, victime de violences conjugales",Céline Hussonnois-Alaya,2021-05-26,,Valérie Bacot,556,2026-05-28T14:15:23.688265
https://www.lefigaro.fr/faits-divers/notre-mere-nous-a-dit-qu-elle-avait-tue-notre-pere-au-proces-bacot-les-enfants-de-l-accusee-et-de-la-victime-a-la-barre-20210622,"«Notre mère nous a dit qu'elle avait tué notre père» : au procès Bacot, les enfants de l'accusée et de la victime à la barre",Aude Bariéty de Lagarde,2021-06-22,,Valérie Bacot,920,2026-05-28T14:15:27.017445
https://www.franceinfo.fr/faits-divers/justice-proces/proces-de-valerie-bacot-cinq-ans-de-prison-requis-dont-quatre-avec-sursis-contre-cette-femme-qui-a-tue-son-mari-violent-et-proxenete_4677797.html,"Procès de Valérie Bacot : cinq ans de prison requis, dont quatre avec sursis, contre cette femme qui a tué son mari violent et proxénète",Franceinfo Avec Afp,2021-06-25,,Valérie Bacot,665,2026-05-28T14:15:29.647666
