url,title,author,date,sitename,source,word_count,scraped_at
https://www.tf1info.fr/societe/c-est-decevant-de-se-retrouver-avec-de-toutes-petites-fraises-un-jardinier-devoile-ses-secrets-pour-doubler-votre-production-de-fraises-cette-saison-2443996.html,"""C'est décevant de se retrouver avec de toutes petites fraises"" : un jardinier dévoile ses secrets pour doubler votre production de fraises cette saison | TF1 Info",J M; Pierre BERGHOF,2026-05-28,,TF1 Info,401,2026-05-28T14:04:38.155165
https://www.tf1info.fr/politique/le-code-noir-abroge-a-l-unanimite-par-les-deputes-178-ans-apres-l-abolition-de-l-esclavage-2444043.html,"L'Assemblée nationale vote à l'unanimité l'abrogation du ""Code noir"", 178 ans après l'abolition de l'esclavage | TF1 Info",Malika CHEKLAL,2026-05-28,,TF1 Info,238,2026-05-28T14:04:40.631007
https://www.tf1info.fr/meteo/vague-de-chaleur-rome-et-trois-autres-villes-italiennes-placees-en-alerte-rouge-2444033.html,Vague de chaleur en Europe : Rome et quatre autres villes italiennes en alerte rouge | TF1 Info,Victor GAUTIER,2026-05-28,,TF1 Info,282,2026-05-28T14:04:43.071931
https://www.tf1info.fr/conso-argent/video-reportage-ma-voisine-nourrit-les-pigeons-qui-salissent-nos-balcons-en-a-t-elle-le-droit-le-13h-a-vos-cotes-avec-marie-sophie-lacarrau-et-valentin-depret-2444032.html,"Ma voisine nourrit les pigeons qui salissent nos balcons, en a-t-elle le droit ? Le 13H à vos côtés | TF1 Info",Valentin DEPRET,2026-05-28,,TF1 Info,438,2026-05-28T14:04:45.669431
https://www.tf1info.fr/nutrition/bon-et-pas-cher-la-recette-de-saison-du-crumble-fraise-rhubarbe-a-realiser-en-famille-2440101.html,"Bon et pas cher : la recette gourmande et de saison du crumble fraise rhubarbe, à réaliser en famille | TF1 Info",C F,2026-05-07,,TF1 Info,392,2026-05-28T14:04:48.116591
https://www.tf1info.fr/culture/le-sosie-de-pierre-niney-ce-coiffeur-enflamme-les-reseaux-sociaux-en-raison-de-sa-ressemblance-frappante-avec-l-acteur-2444040.html,Le sosie de Pierre Niney ? Ce coiffeur enflamme les réseaux sociaux en raison de sa ressemblance frappante avec l'acteur | TF1 Info,Mael NARPON,2026-05-28,,TF1 Info,182,2026-05-28T14:04:50.532704
https://www.tf1info.fr/justice-faits-divers/detournements-de-fonds-publics-patrick-balkany-condamne-a-de-la-prison-ferme-2444085.html,Détournements de fonds publics : Patrick Balkany condamné à de la prison ferme | TF1 Info,La rédaction de TF,2026-05-28,,TF1 Info,248,2026-05-28T14:04:53.024437
https://www.tf1info.fr/votre-plus-beau-marche/votre-plus-beau-marche-2026-le-marche-de-la-mure-du-fromage-et-de-la-viande-d-altitude-2437954.html,"Votre plus beau marché 2026 : le marché de la Mure, du fromage et de la viande d’altitude | TF1 Info",Geoffrey LOPES,2026-05-28,,TF1 Info,550,2026-05-28T14:04:55.609750
https://www.tf1info.fr/justice-faits-divers/video-reportage-arnaque-c-est-de-la-fraude-en-bande-organisee-les-faux-audioprothesistes-dans-le-viseur-de-l-assurance-maladie-2443947.html,"""C'est de la fraude en bande organisée"" : les faux audioprothésistes dans le viseur de l'Assurance maladie | TF1 Info",La rédaction de TF,2026-05-28,,TF1 Info,839,2026-05-28T14:04:58.181575
https://www.tf1info.fr/politique/presidentielle-2027-francois-hollande-candidat-l-ex-chef-de-l-etat-le-dira-en-decembre-2444055.html,"François Hollande candidat en 2027 ? L'ex-chef de l'État le dira ""en décembre"" | TF1 Info",I N,2026-05-28,,TF1 Info,417,2026-05-28T14:05:00.695797
