url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://www.tf1info.fr/conso/c-est-largement-suffisant-pour-vous-rafraichir-une-experte-livre-ses-conseils-pour-choisir-la-meilleure-climatisation-a-installer-chez-vous-2443542.html,"""C’est largement suffisant pour vous rafraîchir"" : une experte livre ses conseils pour choisir la meilleure climatisation à installer chez vous | TF1 Info",Tanguy JAILLANT; Maud DESCAMPS,2026-05-26,,article,TF1 Info,400,
https://www.tf1info.fr/conso-argent/la-succession-retablit-l-egalite-entre-les-enfants-ce-que-vos-parents-vous-ont-donne-de-leur-vivant-peut-changer-le-partage-de-l-heritage-2443034.html,"""La succession rétablit l’égalité entre les enfants"" : ce que vos parents vous ont donné de leur vivant peut changer le partage de l'héritage | TF1 Info",Geoffrey LOPES,2026-05-25,,article,TF1 Info,831,
https://www.tf1info.fr/justice-faits-divers/video-reportage-tf1-on-est-bouleverse-un-enfant-de-9-ans-vivait-enferme-dans-un-placard-la-voisine-qui-a-donne-l-alerte-temoigne-2443830.html,"""On est bouleversés"" : un enfant de 9 ans vivait enfermé dans un placard, la voisine qui a donné l'alerte témoigne | TF1 Info",La rédaction de TF,2026-05-27,,article,TF1 Info,396,
https://www.tf1info.fr/sante/qu-est-ce-que-la-forme-fulgurante-de-la-maladie-de-charcot-qui-a-emporte-le-comedien-pierre-deny-2443891.html,"Qu'est-ce que la forme ""fulgurante"" de la maladie de Charcot qui a emporté le comédien Pierre Deny ? | TF1 Info",Virginie FAUROUX,2026-05-27,,article,TF1 Info,580,
https://www.tf1info.fr/meteo/direct-meteo-france-vague-de-chaleur-alertes-orange-canicule-departements-les-dernieres-informations-mercredi-27-mai-2026-2443729.html,Canicule : Paris et la petite couronne placés à leur tour en vigilance orange | TF1 Info,La rédaction de TF,2026-05-27,,article,TF1 Info,4201,
https://www.tf1info.fr/international/direct-guerre-moyen-orient-aujourd-hui-trump-iran-accord-de-paix-ormuz-pays-du-golfe-les-informations-du-jeudi-28-mai-2026-2443946.html,"EN DIRECT - Iran : les Gardiens de la révolution promettent une ""riposte ferme"" en cas de nouvelle attaque américaine | TF1 Info",La rédaction de TF,2026-05-28,,article,TF1 Info,2201,
https://www.tf1info.fr/culture/la-chaleur-quelle-chaleur-charles-iii-fait-fi-de-la-meteo-pour-venir-a-la-rescousse-des-ecureuils-roux-2443683.html,"La chaleur, quelle chaleur ? Charles III fait fi de la météo pour venir à la rescousse des écureuils roux | TF1 Info",La rédaction de TF,2026-05-26,,article,TF1 Info,606,
https://www.tf1info.fr/international/suisse-attaque-a-l-arme-blanche-pres-de-zurich-trois-personnes-blessees-2444034.html,"Suisse : attaque à l'arme blanche près de Zurich, trois personnes blessées | TF1 Info",I N,2026-05-28,,article,TF1 Info,304,
https://www.tf1info.fr/education/episode-caniculaire-fortes-chaleurs-pres-de-195000-lyceens-planchent-sur-le-bac-professionnel-les-etablissements-prennent-des-mesures-2444035.html,"Épisode caniculaire : près de 195.000 lycéens planchent sur le bac professionnel, les établissements prennent des mesures | TF1 Info",Mael NARPON,2026-05-28,,article,TF1 Info,292,
https://www.tf1info.fr/meteo/video-reportage-cerences-une-atmosphere-plus-chaude-et-propice-a-des-precipitations-extremes-nombreux-degats-apres-un-episode-orageux-en-normandie-2444046.html,Des grêlons de la taille d'une balle de golf : nombreux dégâts après un épisode orageux en Normandie | TF1 Info,La rédaction de TF,2026-05-28,,article,TF1 Info,409,
https://www.tf1info.fr/societe/c-est-decevant-de-se-retrouver-avec-de-toutes-petites-fraises-un-jardinier-devoile-ses-secrets-pour-doubler-votre-production-de-fraises-cette-saison-2443996.html,"""C'est décevant de se retrouver avec de toutes petites fraises"" : un jardinier dévoile ses secrets pour doubler votre production de fraises cette saison | TF1 Info",J M; Pierre BERGHOF,2026-05-28,,article,TF1 Info,401,
https://www.tf1info.fr/politique/le-code-noir-abroge-a-l-unanimite-par-les-deputes-178-ans-apres-l-abolition-de-l-esclavage-2444043.html,"L'Assemblée nationale vote à l'unanimité l'abrogation du ""Code noir"", 178 ans après l'abolition de l'esclavage | TF1 Info",Malika CHEKLAL,2026-05-28,,article,TF1 Info,238,
https://www.tf1info.fr/meteo/vague-de-chaleur-rome-et-trois-autres-villes-italiennes-placees-en-alerte-rouge-2444033.html,Vague de chaleur en Europe : Rome et quatre autres villes italiennes en alerte rouge | TF1 Info,Victor GAUTIER,2026-05-28,,article,TF1 Info,282,
https://www.tf1info.fr/conso-argent/video-reportage-ma-voisine-nourrit-les-pigeons-qui-salissent-nos-balcons-en-a-t-elle-le-droit-le-13h-a-vos-cotes-avec-marie-sophie-lacarrau-et-valentin-depret-2444032.html,"Ma voisine nourrit les pigeons qui salissent nos balcons, en a-t-elle le droit ? Le 13H à vos côtés | TF1 Info",Valentin DEPRET,2026-05-28,,article,TF1 Info,438,
https://www.tf1info.fr/nutrition/bon-et-pas-cher-la-recette-de-saison-du-crumble-fraise-rhubarbe-a-realiser-en-famille-2440101.html,"Bon et pas cher : la recette gourmande et de saison du crumble fraise rhubarbe, à réaliser en famille | TF1 Info",C F,2026-05-07,,article,TF1 Info,392,
